                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4531,                 2.7396,                 1.5416,                 1.2822,                 3.2704,                 1.3681,                0.10304,                0.15251,                0.07517,                0.04012,                0.87381,                 89.033,                 0.8778,                0.72885,                 60.302,                0.72558,             0.00047275,             0.00047275,             0.00047275
                      2,                 1.4331,                 2.0672,                 1.5132,                 1.3171,                 2.7886,                 1.3333,                0.18582,                0.20212,                0.09909,                 0.0524,                 0.8516,                 102.04,                0.86352,                0.77621,                 45.927,                0.77087,             0.00090211,             0.00090211,             0.00090211
                      3,                 1.4101,                 1.9761,                  1.493,                 1.3388,                 2.6157,                 1.3594,                0.14526,                0.17532,                0.07331,                0.03667,                0.94734,                 112.55,                 0.9191,                0.86518,                 44.369,                0.81961,              0.0012843,              0.0012843,              0.0012843
                      4,                 1.3946,                 1.9273,                 1.4828,                 1.3422,                 2.4538,                 1.3623,                0.18219,                0.25828,                0.12225,                0.06607,                0.85946,                 109.08,                0.84296,                0.81659,                 36.491,                0.76452,              0.0012168,              0.0012168,              0.0012168
                      5,                 1.3642,                 1.8665,                 1.4565,                 1.3355,                  2.331,                  1.346,                0.19601,                0.29996,                0.12578,                0.06799,                0.85975,                 64.209,                0.87616,                0.82741,                 22.148,                0.79334,              0.0012168,              0.0012168,              0.0012168
                      6,                 1.3417,                 1.8373,                 1.4409,                 1.3362,                 2.2592,                 1.3503,                 0.1638,                0.27453,                0.11373,                0.06192,                0.82196,                 71.074,                0.83822,                0.79443,                 19.734,                0.76531,              0.0011461,              0.0011461,              0.0011461
                      7,                 1.3342,                 1.7778,                 1.4221,                 1.3288,                 2.1565,                 1.3314,                0.20373,                 0.2482,                0.13303,                0.07306,                 0.8242,                  64.47,                0.83792,                0.81102,                 16.048,                0.78047,              0.0010753,              0.0010753,              0.0010753
                      8,                 1.3092,                 1.7405,                 1.4046,                  1.311,                 2.0829,                 1.3234,                0.21401,                0.25512,                0.13621,                0.07301,                0.85027,                 44.417,                0.84803,                0.80479,                 12.436,                0.77301,              0.0010046,              0.0010046,              0.0010046
                      9,                 1.2812,                 1.7138,                 1.3958,                  1.297,                 2.0623,                 1.3289,                0.20964,                0.27851,                0.14754,                0.08301,                0.82488,                 38.595,                0.83217,                0.79208,                 11.129,                0.76484,             0.00093385,             0.00093385,             0.00093385
                     10,                 1.2604,                  1.656,                 1.3807,                 1.2843,                 1.9826,                 1.3171,                0.21461,                0.30131,                0.15314,                0.08582,                0.79828,                  39.02,                0.80368,                 0.7841,                 10.163,                0.75945,             0.00086312,             0.00086312,             0.00086312
                     11,                 1.2752,                  1.743,                 1.4136,                 1.2909,                 2.0205,                  1.357,                0.21445,                0.25004,                0.13527,                0.07526,                0.83299,                 29.064,                0.82325,                0.77904,                 8.9867,                0.75649,             0.00079238,             0.00079238,             0.00079238
                     12,                 1.2493,                 1.6739,                 1.4001,                 1.2591,                 1.9441,                 1.3498,                0.21053,                0.24507,                0.14243,                0.08044,                0.82099,                 32.302,                0.82768,                  0.783,                 7.7316,                0.76958,             0.00072164,             0.00072164,             0.00072164
                     13,                 1.2429,                 1.6433,                  1.389,                 1.2626,                 1.8821,                  1.335,                0.22954,                0.26608,                0.15134,                0.08529,                0.81702,                 24.115,                0.82495,                 0.7807,                  5.904,                0.76229,             0.00065091,             0.00065091,             0.00065091
                     14,                 1.2134,                 1.5822,                 1.3743,                 1.2351,                 1.8263,                 1.3264,                 0.2136,                0.31986,                0.16094,                0.09089,                0.79229,                 45.603,                0.80497,                0.77268,                 8.9986,                0.75222,             0.00058017,             0.00058017,             0.00058017
                     15,                 1.1966,                 1.5373,                  1.357,                 1.2265,                 1.7878,                 1.3147,                0.22867,                0.29047,                0.16342,                  0.095,                0.78093,                 48.395,                0.79842,                 0.7555,                 9.7588,                 0.7459,             0.00050944,             0.00050944,             0.00050944
                     16,                 1.1643,                 1.4929,                 1.3343,                 1.1934,                 1.7098,                  1.295,                0.25206,                0.28748,                 0.1835,                0.10646,                0.76063,                 26.647,                0.79711,                0.74494,                 5.7841,                 0.7433,              0.0004387,              0.0004387,              0.0004387
                     17,                 1.1586,                 1.4667,                 1.3282,                 1.1865,                 1.6871,                 1.2923,                0.24842,                0.29326,                0.17701,                0.10463,                 0.7702,                   19.2,                0.79852,                0.75887,                 4.7348,                0.75374,             0.00036797,             0.00036797,             0.00036797
                     18,                  1.129,                 1.4349,                 1.3149,                 1.1559,                 1.6515,                 1.2823,                0.22924,                0.30147,                 0.1683,                0.09793,                 0.7737,                 30.185,                0.79984,                0.76033,                 6.3861,                0.75303,             0.00029723,             0.00029723,             0.00029723
                     19,                 1.1202,                 1.3996,                 1.3083,                 1.1594,                   1.61,                 1.2768,                0.25217,                0.30618,                 0.1882,                0.11152,                0.76658,                 21.218,                0.79326,                0.74419,                 5.0232,                0.74513,              0.0002265,              0.0002265,              0.0002265
                     20,                 1.0954,                 1.3674,                  1.284,                 1.1319,                 1.5628,                 1.2569,                0.24316,                0.29573,                0.18343,                0.10655,                0.76085,                  27.26,                0.78163,                0.74672,                  6.277,                0.74008,             0.00015576,             0.00015576,             0.00015576
